N,method,energy,optimal_energy,normalized_distance,time_sec
15,Random Search,23,15,0.533333,0.023195
15,Classical MTS,15,15,0.0,0.908813
15,QE-MTS (Image H),15,15,0.0,1.358916
15,QE-MTS (LABS H),15,15,0.0,2.960589
15,QE-MTS (LABS OPT H),15,15,0.0,1.142125
25,Random Search,108,36,2.0,0.037056
25,Classical MTS,36,36,0.0,1.380749
25,QE-MTS (Image H),36,36,0.0,3.196613
25,QE-MTS (LABS H),36,36,0.0,15.380113
25,QE-MTS (LABS OPT H),36,36,0.0,3.110796
30,Random Search,171,59,1.898305,0.043867
30,Classical MTS,59,59,0.0,1.614128
30,QE-MTS (Image H),59,59,0.0,99.535573
30,QE-MTS (LABS H),59,59,0.0,456.362863
30,QE-MTS (LABS OPT H),59,59,0.0,99.783222
