N,E,F_N,sequence,skew
3,1,4.5,21,True
4,2,4.0,112,False
5,2,6.25,311,True
6,7,2.571,141,False
6,7,2.571,123,False
6,7,2.571,312,False
6,7,2.571,1113,False
7,3,8.167,1123,True
8,8,4.0,32111,False
8,8,4.0,31121,False
9,12,3.375,311121,False
9,12,3.375,42111,True
9,12,3.375,32211,True
9,12,3.375,31122,False
10,13,3.846,42211,False
10,13,3.846,52111,False
10,13,3.846,311122,False
10,13,3.846,41122,False
10,13,3.846,33121,False
11,5,12.1,112133,True
12,10,7.2,4221111,False
12,10,7.2,4111221,False
13,6,14.083,5221111,True
14,19,5.158,41112221,False
14,19,5.158,6221111,False
14,19,5.158,5222111,False
14,19,5.158,33111212,False
14,19,5.158,41111222,False
14,19,5.158,42211112,False
14,19,5.158,5221112,False
14,19,5.158,5311121,False
15,15,7.5,52221111,True
15,15,7.5,33131211,True
16,24,5.333,225111121,False
16,24,5.333,6322111,False
16,24,5.333,313311211,False
16,24,5.333,2131441,False
17,32,4.516,252211121,True
17,32,4.516,44121311,False
17,32,4.516,4221211112,False
17,32,4.516,36111221,False
17,32,4.516,2122411112,False
17,32,4.516,2112113132,False
18,25,6.48,441112221,False
18,25,6.48,511211322,False
19,29,6.224,4111142212,False
20,26,7.692,5113112321,False
21,26,8.481,27221111121,True
22,39,6.205,51221111233,False
22,39,6.205,632111112211,False
22,39,6.205,511111212232,False
23,47,5.628,212121111632,False
23,47,5.628,83211112211,False
23,47,5.628,314121131132,False
24,36,8.0,2236111112121,False
25,36,8.681,337111121221,False
26,45,7.511,21212111116322,False
26,45,7.511,63231111121211,False
26,45,7.511,32361111121211,False
27,37,9.851,34313131211211,True
28,50,7.84,34313131211212,False
29,62,6.782,212112131313431,True
29,62,6.782,323711111212211,True
30,59,7.627,551212111113231,False
30,59,7.627,461212111113231,False
31,67,7.172,7332212211112111,False
32,64,8.0,71112111133221221,False
33,64,8.508,742112111111122221,False
34,65,8.892,842112111111122221,False
35,73,8.39,7122122111121111332,False
36,82,7.902,3632311131212111211,False
37,86,7.959,844211211111122221,False
38,87,8.299,8442112111111122221,False
39,99,7.682,82121121234321111111,True
39,99,7.682,23241171111141122121,True
40,108,7.407,44412112131121313131,False
41,108,7.782,343111111222281211211,True
42,101,8.733,313131341343112112112,False
43,109,8.482,1132432111117212112213,True
44,122,7.934,525313113111222111211121,False
45,118,8.581,82121121231234321111111,True
46,131,8.076,823431231211212211111111,False
46,131,8.076,821211212312343211111111,False
46,131,8.076,73235111112132122112121,False
47,135,8.181,923431231211212211111111,True
47,135,8.181,429422222112111111122111,True
47,135,8.181,411121114131131312421242,False
47,135,8.181,383422132211212111111211,True
47,135,8.181,236331611113121211112121,True
47,135,8.181,212a21121234211111111231,True
